date,weight,resting_hr,hrv,sleep_hours,sleep_quality,fatigue,soreness,stress,mood,motivation,fitness_ctl,fatigue_atl,form_tsb,ramp_rate
2026-07-24,,,,,,,,,,,45.7,54.9,-9.2,3.93
2026-07-23,83.5,38,,9.3,,,,,,,46.8,63.3,-16.5,4.02
2026-07-22,,40,,7.2,,,,,,,47.9,73.0,-25.1,5.81
2026-07-21,,42,,8.4,,,,,,,49.1,84.3,-35.2,5.95
2026-07-20,,41,,8.3,,,,,,,45.0,63.6,-18.6,2.43
2026-07-19,,45,,7.4,,,,,,,46.1,73.3,-27.3,2.77
2026-07-18,,45,,6.5,,,,,,,43.4,60.6,-17.2,5.42
2026-07-17,84.2,44,,6.1,,,,,,,41.8,52.8,-11.0,5.19
2026-07-16,84.0,41,,7.2,,,,,,,42.8,57.0,-14.2,5.31
2026-07-15,,43,,6.3,,,,,,,42.1,55.0,-12.9,5.18
2026-07-14,84.1,42,,7.1,,,,,,,43.1,63.5,-20.3,7.88
2026-07-13,84.2,44,,8.3,,,,,,,42.6,62.9,-20.4,6.45
2026-07-12,,49,,4.6,,,,,,,43.3,70.7,-27.4,6.32
2026-07-11,84.5,46,,7.0,,,,,,,39.3,48.7,-9.4,1.45
2026-07-10,84.3,45,,7.0,,,,,,,36.6,32.7,3.9,-1.96
2026-07-09,84.2,45,,6.5,,,,,,,37.5,33.1,4.4,-2.0
2026-07-08,84.2,46,,6.9,,,,,,,37.0,29.1,7.9,-3.47
2026-07-07,84.3,45,,6.9,,,,,,,35.3,17.1,18.1,-6.14
2026-07-06,84.6,43,,6.4,,,,,,,36.1,19.8,16.4,-2.86
2026-07-05,84.4,48,,8.6,,,,,,,37.0,19.1,17.9,-2.93
2026-07-04,84.4,48,,9.5,,,,,,,37.9,22.0,15.8,-3.0
2026-07-03,84.8,44,,7.4,,,,,,,43.9,54.2,-10.3,2.05
2026-07-02,84.7,43,,11.7,,,,,,,39.5,27.6,11.9,-3.4
2026-07-01,85.2,48,,6.5,,,,,,,40.4,31.8,8.6,-3.48
2026-06-30,86.0,42,,6.7,,,,,,,41.4,36.7,4.7,-0.86
